date,date_weekday,day_of_week,is_weekend,abbreviated_weekday,month_start,month_num,month_year
2019-04-11,Thursday,3,0,Thu,2019-04-01,4,April 2019
2019-04-12,Friday,4,0,Fri,2019-04-01,4,April 2019
2019-04-13,Saturday,5,1,Sat,2019-04-01,4,April 2019
2019-04-14,Sunday,6,1,Sun,2019-04-01,4,April 2019
2019-04-15,Monday,0,0,Mon,2019-04-01,4,April 2019
2019-04-16,Tuesday,1,0,Tue,2019-04-01,4,April 2019
2019-04-17,Wednesday,2,0,Wed,2019-04-01,4,April 2019
2019-04-18,Thursday,3,0,Thu,2019-04-01,4,April 2019
2019-04-19,Friday,4,0,Fri,2019-04-01,4,April 2019
2019-04-20,Saturday,5,1,Sat,2019-04-01,4,April 2019
2019-04-21,Sunday,6,1,Sun,2019-04-01,4,April 2019
2019-04-22,Monday,0,0,Mon,2019-04-01,4,April 2019
2019-04-23,Tuesday,1,0,Tue,2019-04-01,4,April 2019
2019-04-24,Wednesday,2,0,Wed,2019-04-01,4,April 2019
2019-04-25,Thursday,3,0,Thu,2019-04-01,4,April 2019
2019-04-26,Friday,4,0,Fri,2019-04-01,4,April 2019
2019-04-27,Saturday,5,1,Sat,2019-04-01,4,April 2019
2019-04-28,Sunday,6,1,Sun,2019-04-01,4,April 2019
2019-04-29,Monday,0,0,Mon,2019-04-01,4,April 2019
2019-04-30,Tuesday,1,0,Tue,2019-04-01,4,April 2019
2019-05-01,Wednesday,2,0,Wed,2019-05-01,5,May 2019
2019-05-02,Thursday,3,0,Thu,2019-05-01,5,May 2019
2019-05-03,Friday,4,0,Fri,2019-05-01,5,May 2019
2019-05-04,Saturday,5,1,Sat,2019-05-01,5,May 2019
2019-05-05,Sunday,6,1,Sun,2019-05-01,5,May 2019
2019-05-06,Monday,0,0,Mon,2019-05-01,5,May 2019
2019-05-07,Tuesday,1,0,Tue,2019-05-01,5,May 2019
2019-05-08,Wednesday,2,0,Wed,2019-05-01,5,May 2019
2019-05-09,Thursday,3,0,Thu,2019-05-01,5,May 2019
2019-05-10,Friday,4,0,Fri,2019-05-01,5,May 2019
2019-05-11,Saturday,5,1,Sat,2019-05-01,5,May 2019
2019-05-12,Sunday,6,1,Sun,2019-05-01,5,May 2019
2019-05-13,Monday,0,0,Mon,2019-05-01,5,May 2019
2019-05-14,Tuesday,1,0,Tue,2019-05-01,5,May 2019
2019-05-15,Wednesday,2,0,Wed,2019-05-01,5,May 2019
2019-05-16,Thursday,3,0,Thu,2019-05-01,5,May 2019
2019-05-17,Friday,4,0,Fri,2019-05-01,5,May 2019
2019-05-18,Saturday,5,1,Sat,2019-05-01,5,May 2019
2019-05-19,Sunday,6,1,Sun,2019-05-01,5,May 2019
2019-05-20,Monday,0,0,Mon,2019-05-01,5,May 2019
2019-05-21,Tuesday,1,0,Tue,2019-05-01,5,May 2019
2019-05-22,Wednesday,2,0,Wed,2019-05-01,5,May 2019
2019-05-23,Thursday,3,0,Thu,2019-05-01,5,May 2019
2019-05-24,Friday,4,0,Fri,2019-05-01,5,May 2019
2019-05-25,Saturday,5,1,Sat,2019-05-01,5,May 2019
2019-05-26,Sunday,6,1,Sun,2019-05-01,5,May 2019
2019-05-27,Monday,0,0,Mon,2019-05-01,5,May 2019
2019-05-28,Tuesday,1,0,Tue,2019-05-01,5,May 2019
2019-05-29,Wednesday,2,0,Wed,2019-05-01,5,May 2019
2019-05-30,Thursday,3,0,Thu,2019-05-01,5,May 2019
2019-05-31,Friday,4,0,Fri,2019-05-01,5,May 2019
2019-06-01,Saturday,5,1,Sat,2019-06-01,6,June 2019
2019-06-02,Sunday,6,1,Sun,2019-06-01,6,June 2019
2019-06-03,Monday,0,0,Mon,2019-06-01,6,June 2019
2019-06-04,Tuesday,1,0,Tue,2019-06-01,6,June 2019
2019-06-05,Wednesday,2,0,Wed,2019-06-01,6,June 2019
2019-06-06,Thursday,3,0,Thu,2019-06-01,6,June 2019
2019-06-07,Friday,4,0,Fri,2019-06-01,6,June 2019
2019-06-08,Saturday,5,1,Sat,2019-06-01,6,June 2019
2019-06-09,Sunday,6,1,Sun,2019-06-01,6,June 2019
2019-06-10,Monday,0,0,Mon,2019-06-01,6,June 2019
2019-06-11,Tuesday,1,0,Tue,2019-06-01,6,June 2019
2019-06-12,Wednesday,2,0,Wed,2019-06-01,6,June 2019
2019-06-13,Thursday,3,0,Thu,2019-06-01,6,June 2019
2019-06-14,Friday,4,0,Fri,2019-06-01,6,June 2019
2019-06-15,Saturday,5,1,Sat,2019-06-01,6,June 2019
2019-06-16,Sunday,6,1,Sun,2019-06-01,6,June 2019
2019-06-17,Monday,0,0,Mon,2019-06-01,6,June 2019
2019-06-18,Tuesday,1,0,Tue,2019-06-01,6,June 2019
2019-06-19,Wednesday,2,0,Wed,2019-06-01,6,June 2019
2019-06-20,Thursday,3,0,Thu,2019-06-01,6,June 2019
2019-06-21,Friday,4,0,Fri,2019-06-01,6,June 2019
2019-06-22,Saturday,5,1,Sat,2019-06-01,6,June 2019
2019-06-23,Sunday,6,1,Sun,2019-06-01,6,June 2019
2019-06-24,Monday,0,0,Mon,2019-06-01,6,June 2019
2019-06-25,Tuesday,1,0,Tue,2019-06-01,6,June 2019
2019-06-26,Wednesday,2,0,Wed,2019-06-01,6,June 2019
2019-06-27,Thursday,3,0,Thu,2019-06-01,6,June 2019
2019-06-28,Friday,4,0,Fri,2019-06-01,6,June 2019
2019-06-29,Saturday,5,1,Sat,2019-06-01,6,June 2019
2019-06-30,Sunday,6,1,Sun,2019-06-01,6,June 2019
2019-07-01,Monday,0,0,Mon,2019-07-01,7,July 2019
2019-07-02,Tuesday,1,0,Tue,2019-07-01,7,July 2019
2019-07-03,Wednesday,2,0,Wed,2019-07-01,7,July 2019
2019-07-04,Thursday,3,0,Thu,2019-07-01,7,July 2019
2019-07-05,Friday,4,0,Fri,2019-07-01,7,July 2019
2019-07-06,Saturday,5,1,Sat,2019-07-01,7,July 2019
2019-07-07,Sunday,6,1,Sun,2019-07-01,7,July 2019
2019-07-08,Monday,0,0,Mon,2019-07-01,7,July 2019
2019-07-09,Tuesday,1,0,Tue,2019-07-01,7,July 2019
2019-07-10,Wednesday,2,0,Wed,2019-07-01,7,July 2019
2019-07-11,Thursday,3,0,Thu,2019-07-01,7,July 2019
2019-07-12,Friday,4,0,Fri,2019-07-01,7,July 2019
2019-07-13,Saturday,5,1,Sat,2019-07-01,7,July 2019
2019-07-14,Sunday,6,1,Sun,2019-07-01,7,July 2019
2019-07-15,Monday,0,0,Mon,2019-07-01,7,July 2019
2019-07-16,Tuesday,1,0,Tue,2019-07-01,7,July 2019
2019-07-17,Wednesday,2,0,Wed,2019-07-01,7,July 2019
2019-07-18,Thursday,3,0,Thu,2019-07-01,7,July 2019
2019-07-19,Friday,4,0,Fri,2019-07-01,7,July 2019
2019-07-20,Saturday,5,1,Sat,2019-07-01,7,July 2019
2019-07-21,Sunday,6,1,Sun,2019-07-01,7,July 2019
2019-07-22,Monday,0,0,Mon,2019-07-01,7,July 2019
2019-07-23,Tuesday,1,0,Tue,2019-07-01,7,July 2019
2019-07-24,Wednesday,2,0,Wed,2019-07-01,7,July 2019
2019-07-25,Thursday,3,0,Thu,2019-07-01,7,July 2019
2019-07-26,Friday,4,0,Fri,2019-07-01,7,July 2019
2019-07-27,Saturday,5,1,Sat,2019-07-01,7,July 2019
2019-07-28,Sunday,6,1,Sun,2019-07-01,7,July 2019
2019-07-29,Monday,0,0,Mon,2019-07-01,7,July 2019
2019-07-30,Tuesday,1,0,Tue,2019-07-01,7,July 2019
2019-07-31,Wednesday,2,0,Wed,2019-07-01,7,July 2019
2019-08-01,Thursday,3,0,Thu,2019-08-01,8,August 2019
2019-08-02,Friday,4,0,Fri,2019-08-01,8,August 2019
2019-08-03,Saturday,5,1,Sat,2019-08-01,8,August 2019
2019-08-04,Sunday,6,1,Sun,2019-08-01,8,August 2019
2019-08-05,Monday,0,0,Mon,2019-08-01,8,August 2019
2019-08-06,Tuesday,1,0,Tue,2019-08-01,8,August 2019
2019-08-07,Wednesday,2,0,Wed,2019-08-01,8,August 2019
2019-08-08,Thursday,3,0,Thu,2019-08-01,8,August 2019
2019-08-09,Friday,4,0,Fri,2019-08-01,8,August 2019
2019-08-10,Saturday,5,1,Sat,2019-08-01,8,August 2019
2019-08-11,Sunday,6,1,Sun,2019-08-01,8,August 2019
2019-08-12,Monday,0,0,Mon,2019-08-01,8,August 2019
2019-08-13,Tuesday,1,0,Tue,2019-08-01,8,August 2019
2019-08-14,Wednesday,2,0,Wed,2019-08-01,8,August 2019
2019-08-15,Thursday,3,0,Thu,2019-08-01,8,August 2019
2019-08-16,Friday,4,0,Fri,2019-08-01,8,August 2019
2019-08-17,Saturday,5,1,Sat,2019-08-01,8,August 2019
2019-08-18,Sunday,6,1,Sun,2019-08-01,8,August 2019
2019-08-19,Monday,0,0,Mon,2019-08-01,8,August 2019
2019-08-20,Tuesday,1,0,Tue,2019-08-01,8,August 2019
2019-08-21,Wednesday,2,0,Wed,2019-08-01,8,August 2019
2019-08-22,Thursday,3,0,Thu,2019-08-01,8,August 2019
2019-08-23,Friday,4,0,Fri,2019-08-01,8,August 2019
2019-08-24,Saturday,5,1,Sat,2019-08-01,8,August 2019
2019-08-25,Sunday,6,1,Sun,2019-08-01,8,August 2019
2019-08-26,Monday,0,0,Mon,2019-08-01,8,August 2019
2019-08-27,Tuesday,1,0,Tue,2019-08-01,8,August 2019
2019-08-28,Wednesday,2,0,Wed,2019-08-01,8,August 2019
2019-08-29,Thursday,3,0,Thu,2019-08-01,8,August 2019
2019-08-30,Friday,4,0,Fri,2019-08-01,8,August 2019
2019-08-31,Saturday,5,1,Sat,2019-08-01,8,August 2019
2019-09-01,Sunday,6,1,Sun,2019-09-01,9,September 2019
2019-09-02,Monday,0,0,Mon,2019-09-01,9,September 2019
2019-09-03,Tuesday,1,0,Tue,2019-09-01,9,September 2019
2019-09-04,Wednesday,2,0,Wed,2019-09-01,9,September 2019
2019-09-05,Thursday,3,0,Thu,2019-09-01,9,September 2019
2019-09-06,Friday,4,0,Fri,2019-09-01,9,September 2019
2019-09-07,Saturday,5,1,Sat,2019-09-01,9,September 2019
2019-09-08,Sunday,6,1,Sun,2019-09-01,9,September 2019
2019-09-09,Monday,0,0,Mon,2019-09-01,9,September 2019
2019-09-10,Tuesday,1,0,Tue,2019-09-01,9,September 2019
2019-09-11,Wednesday,2,0,Wed,2019-09-01,9,September 2019
2019-09-12,Thursday,3,0,Thu,2019-09-01,9,September 2019
2019-09-13,Friday,4,0,Fri,2019-09-01,9,September 2019
2019-09-14,Saturday,5,1,Sat,2019-09-01,9,September 2019
2019-09-15,Sunday,6,1,Sun,2019-09-01,9,September 2019
2019-09-16,Monday,0,0,Mon,2019-09-01,9,September 2019
2019-09-17,Tuesday,1,0,Tue,2019-09-01,9,September 2019
2019-09-18,Wednesday,2,0,Wed,2019-09-01,9,September 2019
2019-09-19,Thursday,3,0,Thu,2019-09-01,9,September 2019
2019-09-20,Friday,4,0,Fri,2019-09-01,9,September 2019
2019-09-21,Saturday,5,1,Sat,2019-09-01,9,September 2019
2019-09-22,Sunday,6,1,Sun,2019-09-01,9,September 2019
2019-09-23,Monday,0,0,Mon,2019-09-01,9,September 2019
2019-09-24,Tuesday,1,0,Tue,2019-09-01,9,September 2019
2019-09-25,Wednesday,2,0,Wed,2019-09-01,9,September 2019
2019-09-26,Thursday,3,0,Thu,2019-09-01,9,September 2019
2019-09-27,Friday,4,0,Fri,2019-09-01,9,September 2019
2019-09-28,Saturday,5,1,Sat,2019-09-01,9,September 2019
2019-09-29,Sunday,6,1,Sun,2019-09-01,9,September 2019
2019-09-30,Monday,0,0,Mon,2019-09-01,9,September 2019
2019-10-01,Tuesday,1,0,Tue,2019-10-01,10,October 2019
2019-10-02,Wednesday,2,0,Wed,2019-10-01,10,October 2019
2019-10-03,Thursday,3,0,Thu,2019-10-01,10,October 2019
2019-10-04,Friday,4,0,Fri,2019-10-01,10,October 2019
2019-10-05,Saturday,5,1,Sat,2019-10-01,10,October 2019
2019-10-06,Sunday,6,1,Sun,2019-10-01,10,October 2019
2019-10-07,Monday,0,0,Mon,2019-10-01,10,October 2019
2019-10-08,Tuesday,1,0,Tue,2019-10-01,10,October 2019
2019-10-09,Wednesday,2,0,Wed,2019-10-01,10,October 2019
2019-10-10,Thursday,3,0,Thu,2019-10-01,10,October 2019
2019-10-11,Friday,4,0,Fri,2019-10-01,10,October 2019
2019-10-12,Saturday,5,1,Sat,2019-10-01,10,October 2019
2019-10-13,Sunday,6,1,Sun,2019-10-01,10,October 2019
2019-10-14,Monday,0,0,Mon,2019-10-01,10,October 2019
2019-10-15,Tuesday,1,0,Tue,2019-10-01,10,October 2019
2019-10-16,Wednesday,2,0,Wed,2019-10-01,10,October 2019
2019-10-17,Thursday,3,0,Thu,2019-10-01,10,October 2019
2019-10-18,Friday,4,0,Fri,2019-10-01,10,October 2019
2019-10-19,Saturday,5,1,Sat,2019-10-01,10,October 2019
2019-10-20,Sunday,6,1,Sun,2019-10-01,10,October 2019
2019-10-21,Monday,0,0,Mon,2019-10-01,10,October 2019
2019-10-22,Tuesday,1,0,Tue,2019-10-01,10,October 2019
2019-10-23,Wednesday,2,0,Wed,2019-10-01,10,October 2019
2019-10-24,Thursday,3,0,Thu,2019-10-01,10,October 2019
2019-10-25,Friday,4,0,Fri,2019-10-01,10,October 2019
2019-10-26,Saturday,5,1,Sat,2019-10-01,10,October 2019
2019-10-27,Sunday,6,1,Sun,2019-10-01,10,October 2019
2019-10-28,Monday,0,0,Mon,2019-10-01,10,October 2019
2019-10-29,Tuesday,1,0,Tue,2019-10-01,10,October 2019
2019-10-30,Wednesday,2,0,Wed,2019-10-01,10,October 2019
2019-10-31,Thursday,3,0,Thu,2019-10-01,10,October 2019
2019-11-01,Friday,4,0,Fri,2019-11-01,11,November 2019
2019-11-02,Saturday,5,1,Sat,2019-11-01,11,November 2019
2019-11-03,Sunday,6,1,Sun,2019-11-01,11,November 2019
2019-11-04,Monday,0,0,Mon,2019-11-01,11,November 2019
2019-11-05,Tuesday,1,0,Tue,2019-11-01,11,November 2019
2019-11-06,Wednesday,2,0,Wed,2019-11-01,11,November 2019
2019-11-07,Thursday,3,0,Thu,2019-11-01,11,November 2019
2019-11-08,Friday,4,0,Fri,2019-11-01,11,November 2019
2019-11-09,Saturday,5,1,Sat,2019-11-01,11,November 2019
2019-11-10,Sunday,6,1,Sun,2019-11-01,11,November 2019
2019-11-11,Monday,0,0,Mon,2019-11-01,11,November 2019
2019-11-12,Tuesday,1,0,Tue,2019-11-01,11,November 2019
2019-11-13,Wednesday,2,0,Wed,2019-11-01,11,November 2019
2019-11-14,Thursday,3,0,Thu,2019-11-01,11,November 2019
2019-11-15,Friday,4,0,Fri,2019-11-01,11,November 2019
2019-11-16,Saturday,5,1,Sat,2019-11-01,11,November 2019
2019-11-17,Sunday,6,1,Sun,2019-11-01,11,November 2019
2019-11-18,Monday,0,0,Mon,2019-11-01,11,November 2019
2019-11-19,Tuesday,1,0,Tue,2019-11-01,11,November 2019
2019-11-20,Wednesday,2,0,Wed,2019-11-01,11,November 2019
2019-11-21,Thursday,3,0,Thu,2019-11-01,11,November 2019
2019-11-22,Friday,4,0,Fri,2019-11-01,11,November 2019
2019-11-23,Saturday,5,1,Sat,2019-11-01,11,November 2019
2019-11-24,Sunday,6,1,Sun,2019-11-01,11,November 2019
2019-11-25,Monday,0,0,Mon,2019-11-01,11,November 2019
2019-11-26,Tuesday,1,0,Tue,2019-11-01,11,November 2019
2019-11-27,Wednesday,2,0,Wed,2019-11-01,11,November 2019
2019-11-28,Thursday,3,0,Thu,2019-11-01,11,November 2019
2019-11-29,Friday,4,0,Fri,2019-11-01,11,November 2019
2019-11-30,Saturday,5,1,Sat,2019-11-01,11,November 2019
2019-12-01,Sunday,6,1,Sun,2019-12-01,12,December 2019
2019-12-02,Monday,0,0,Mon,2019-12-01,12,December 2019
2019-12-03,Tuesday,1,0,Tue,2019-12-01,12,December 2019
2019-12-04,Wednesday,2,0,Wed,2019-12-01,12,December 2019
2019-12-05,Thursday,3,0,Thu,2019-12-01,12,December 2019
2019-12-06,Friday,4,0,Fri,2019-12-01,12,December 2019
2019-12-07,Saturday,5,1,Sat,2019-12-01,12,December 2019
2019-12-08,Sunday,6,1,Sun,2019-12-01,12,December 2019
2019-12-09,Monday,0,0,Mon,2019-12-01,12,December 2019
2019-12-10,Tuesday,1,0,Tue,2019-12-01,12,December 2019
2019-12-11,Wednesday,2,0,Wed,2019-12-01,12,December 2019
2019-12-12,Thursday,3,0,Thu,2019-12-01,12,December 2019
2019-12-13,Friday,4,0,Fri,2019-12-01,12,December 2019
2019-12-14,Saturday,5,1,Sat,2019-12-01,12,December 2019
2019-12-15,Sunday,6,1,Sun,2019-12-01,12,December 2019
2019-12-16,Monday,0,0,Mon,2019-12-01,12,December 2019
2019-12-17,Tuesday,1,0,Tue,2019-12-01,12,December 2019
2019-12-18,Wednesday,2,0,Wed,2019-12-01,12,December 2019
2019-12-19,Thursday,3,0,Thu,2019-12-01,12,December 2019
2019-12-20,Friday,4,0,Fri,2019-12-01,12,December 2019
2019-12-21,Saturday,5,1,Sat,2019-12-01,12,December 2019
2019-12-22,Sunday,6,1,Sun,2019-12-01,12,December 2019
2019-12-23,Monday,0,0,Mon,2019-12-01,12,December 2019
2019-12-24,Tuesday,1,0,Tue,2019-12-01,12,December 2019
2019-12-25,Wednesday,2,0,Wed,2019-12-01,12,December 2019
2019-12-26,Thursday,3,0,Thu,2019-12-01,12,December 2019
2019-12-27,Friday,4,0,Fri,2019-12-01,12,December 2019
2019-12-28,Saturday,5,1,Sat,2019-12-01,12,December 2019
2019-12-29,Sunday,6,1,Sun,2019-12-01,12,December 2019
2019-12-30,Monday,0,0,Mon,2019-12-01,12,December 2019
2019-12-31,Tuesday,1,0,Tue,2019-12-01,12,December 2019
